flags,utterance,category,intent
BI,how can I get an invoice?,INVOICES,get_invoice
BL,I want an online account,ACCOUNT,create_account
BSLQCZ,"I changed my mind , I need help canceling my online account",ACCOUNT,delete_account
BQC,I want to know the status of my refund and I want to track it,REFUNDS,track_refund
BPLD,"please, ask an agent where I could obtain a reimbursement",REFUNDS,get_refund
BIPQCZ,"id like to get a rebund, could u help me?",REFUNDS,get_refund
BIPLQC,"I need a reimbursement, can I request one, please?",REFUNDS,get_refund
BIPLQD,"could u ask an agent if they have a newsletter i could receive, please?",NEWSLETTER,newsletter_subscription
BILQC,"I need a reimbursement, what can I do to obtain one?",REFUNDS,get_refund
BIPC,"i need a refund, can i get one, please?",REFUNDS,get_refund
BL,I want to know how to check my package,ORDER,track_order
BILC,"the show was postponed, what do I have to do to get a refund?",REFUNDS,get_refund
BILQC,"I changed my mind, what can I do to cancel my online account?",ACCOUNT,delete_account
BIQDW,can u ask an agent if fucking customer service is available?,CONTACT,contact_customer_service
BIPLQD,can u ask an agent where i could open a user account?,ACCOUNT,create_account
BPMSLQC,i lost my invoice and id like to view it,INVOICES,check_invoices
BILQC,"I get an error message when I attempt to pay for my online order, what should I do?",PAYMENT,payment_issue
BILQCZ,"i changed my mind, whatshould i do to cancel my profile?",ACCOUNT,delete_account
BLC,"I want to check my package, tell me where to do it",ORDER,track_order
BSLC,"I need information, I need help calling Client Service",CONTACT,contact_customer_service
BL,I want to report an issue paying,PAYMENT,payment_issue
BISC,"I lost my invoices, can you check them?",INVOICES,check_invoices
BIL,how do I speak with a human agent?,CONTACT,contact_human_agent
BILC,"I'm not happy with the service, can you submit a consumer complaint?",FEEDBACK,complaint
BLQC,"i changed my mind, remove my account",ACCOUNT,delete_account
BLQC,I have a question and I want to call Client Service,CONTACT,contact_customer_service
BILQD,can u ask an agent how i can inform of a problem paying?,PAYMENT,payment_issue
BML,how to inform of problems paying,PAYMENT,payment_issue
BILC,"I changed my mind, can you remove my account?",ACCOUNT,delete_account
B,tell me if i can get an invoice,INVOICES,get_invoice
BML,I want to know where I can check my deliveries,ORDER,track_order
BIPL,could you tell me how I can check my order?,ORDER,track_order
BIMZ,csn I tack my orders?,ORDER,track_order
BLZ,tell me if  I can ppay with Amex,PAYMENT,check_payment_methods
BQC,i have an issue when trying to pay and i want to report it,PAYMENT,payment_issue
BLCZ,"I'm happy with the service, lpdge an opinion",FEEDBACK,review
BILQ,how do I view my bills?,INVOICES,check_invoices
BIPLQWC,"id like to submit a fucking comment for a service, what do i have to do?",FEEDBACK,review
BSLC,"my profile's been hacked, and I need help getting it back",ACCOUNT,recover_password
BILC,"I want to retrieve my account password, can you help me?",ACCOUNT,recover_password
BIC,"I want to check my invoices, can you help me?",INVOICES,check_invoices
