flags,utterance,category,intent
BILC,"I have a problem making a payment, can you report it?",PAYMENT,payment_issue
BIC,"I want to check the delivery options, what can I do?",DELIVERY,delivery_options
BIL,has my reimbursement been processed?,REFUNDS,track_refund
BILC,"I want information, how do I talk to Client Service?",CONTACT,contact_customer_service
BILQC,"i dont want my user account, what should i do to delete it?",ACCOUNT,delete_account
BILQ,can I track my purchase?,ORDER,track_order
BILQC,"I want to see your payment options, what can I do?",PAYMENT,check_payment_methods
BILC,"I changed my mind, what do I have to do to cancel my user account?",ACCOUNT,delete_account
BILC,"i have a problem when trying to pay for my order, what should i do to report it?",PAYMENT,payment_issue
BL,tell me if I can create several user accounts with the same email address,ACCOUNT,create_account
BLQWZ,I want to request an fucking refund,REFUNDS,get_refund
BSLQC,"someone stole my password, i need help retrieving it",ACCOUNT,recover_password
BL,how to lodge a consumer complaint,FEEDBACK,complaint
BIL,how do I talk to a human?,CONTACT,contact_human_agent
BILQ,how do I make a complaint for a service?,FEEDBACK,complaint
BILQC,"I got an error when I tried to make a payment, but I was charged anyway, what do I have to do to notify it?",PAYMENT,payment_issue
BPLQDW,ask an agent if I could update my fucking shipping address,SHIPPING,change_shipping_address
BPME,I would like to solve payment issues,PAYMENT,payment_issue
BML,help me report issues making a payment,PAYMENT,payment_issue
BSL,information about downloading a bill,INVOICES,get_invoice
BQC,"I want to subscribe to the newsletter, tell me where to do it",NEWSLETTER,newsletter_subscription
BIPLQWC,"id like a fucking refund, how could i obtain one?",REFUNDS,get_refund
BIPLQD,could u ask an agent how to report a problem paying?,PAYMENT,payment_issue
BILCZ,"I want to see the status of my purcase, can you help me?",ORDER,track_order
BILQC,"I want to see the cancellation penalty, what can I do?",CANCELLATION_FEE,check_cancellation_fee
BL,help me cancel a purchase,ORDER,cancel_order
BILC,"I got an error message when I tried to make a payment, but my card was charged anyway, what should I do to notify it?",PAYMENT,payment_issue
BILC,"the concert was postponed, what can I do to request a reimbursement?",REFUNDS,get_refund
