flags,utterance,category,intent
BLQC,"i forgot my password, retrieve it",ACCOUNT,recover_password
BDZ,ask an agent for iunformation about the delivery period for my ticket,DELIVERY,delivery_period
BC,I don't know anything about your refund policy and I need information about it,REFUNDS,check_refund_policy
BILQ,can I leave a comment?,FEEDBACK,review
BIPLEC,"i am happy with the service, could i lodge an opinion?",FEEDBACK,review
BILC,"I want information, can you call Customer Service?",CONTACT,contact_customer_service
BILEWC,"I do not understand you, how do I contact a fucking person?",CONTACT,contact_human_agent
BILQCZ,"i wanna see your refund policy, whar do i have to do?",REFUNDS,check_refund_policy
BIL,can I notify a payment issue?,PAYMENT,payment_issue
BM,"I want to get some invoices, tell me how I can do it",INVOICES,get_invoice
BSLC,"i need information, i need help speaking with customer service",CONTACT,contact_customer_service
BILQC,"i got an error message when i attempted to pay, but i was charged anyway, what do i have to do to notify it?",PAYMENT,payment_issue
BSL,I want to ask for information about receiving the newsletter,NEWSLETTER,newsletter_subscription
BIMSLQC,"i can't find my bill, what do i have to do to view it?",INVOICES,check_invoices
BILQC,"i want to notify an issue making a payment, what can i do?",PAYMENT,payment_issue
BILC,"I want to cancel my online account, where can I do it?",ACCOUNT,delete_account
BILQC,"my account's been hacked, how can i recover it?",ACCOUNT,recover_password
BL,I want to speak with Client Service,CONTACT,contact_customer_service
BLC,"I have a problem when trying to make a payment with card, I need help reporting it",PAYMENT,payment_issue
BILC,"the event was postponed, what should i do to obtain a reimbursement?",REFUNDS,get_refund
BIPMLQD,"can u ask an agent if i can see the cancellation fees, please?",CANCELLATION_FEE,check_cancellation_fee
BILW,how can i view your fucking payment methods?,PAYMENT,check_payment_methods
BIPMLDW,can you ask an agent how I could solve fucking payment problems?,PAYMENT,payment_issue
BISLC,"i lost my bills, what should i do to see them?",INVOICES,check_invoices
BILC,"I want to cancel a purchase, what can I do?",ORDER,cancel_order
BSLQ,i need help notifying a payment problem,PAYMENT,payment_issue
BILCZ,"I bought an item , can I change my purchase?",ORDER,change_order
BILC,"I'm happy with the service, what can I do to submit a review?",FEEDBACK,review
BILQC,"i dont understand you, what do i have to do to speak with a human agent?",CONTACT,contact_human_agent
BZ,i want  to solve a issue with my payment,PAYMENT,payment_issue
BL,help me close my account,ACCOUNT,delete_account
BILQD,can u ask an agent how I can request an invoice?,INVOICES,get_invoice
BLQ,I want to know where to see a bill,INVOICES,get_invoice
BLQC,the game was cancelled and I want to request a reimbursement,REFUNDS,get_refund
BIPLWCZ,"I'd like to close my fucking online account, where can I d it?",ACCOUNT,delete_account
BMSLQ,I need help informing of problems paying,PAYMENT,payment_issue
BS,I want information about changing my order,ORDER,change_order
BILC,"I want to submit an opinion, what can I do?",FEEDBACK,review
BILC,"I got an error message when I tried to pay, but my card was charged anyway, can you inform of it?",PAYMENT,payment_issue
BL,tell me where I can track my package,ORDER,track_order
BMSL,i need help obtaining some bills,INVOICES,get_invoice
BIC,"I want to check your refund policy, can you help me?",REFUNDS,check_refund_policy
BILQZ,how can I receivew a  reimbursement?,REFUNDS,get_refund
BILQCZ,"my profile was hacked, can u belp me ?",ACCOUNT,recover_password
BILC,"the concert was postponed, what should I do to get a refund?",REFUNDS,get_refund
BPLDZ,"please , ask an agent where to see the status of my reimbursement",REFUNDS,track_refund
BIMLZ,how do I check m orders?,ORDER,track_order
BILQC,"the show was cancelled, how can i request a reimbursement?",REFUNDS,get_refund
