flags,utterance,category,intent
BSLCZ,"you're not helping , I need help talking to someone",CONTACT,contact_human_agent
BLQD,ask an agent if i can delete my profile,ACCOUNT,delete_account
BILC,"I want to file a consumer complaint for a service, what can I do?",FEEDBACK,complaint
B,I have an issue when trying to pay for my order,PAYMENT,payment_issue
BL,I want to close my profile,ACCOUNT,delete_account
BIPLQCZ,"id ilke information, can u speak with customer service, please?",CONTACT,contact_customer_service
BPMLQW,"please, i wanna know if i could request some fucking bills",INVOICES,get_invoice
BLQ,i want to know if my reimbursement was processed,REFUNDS,track_refund
BLQC,"i got an error message when i tried to pay, but my card was charged anyway, report it",PAYMENT,payment_issue
BILQC,"I want to see my bills, what should I do?",INVOICES,check_invoices
BSLC,"I'm happy with the service, I need help filing an opinion",FEEDBACK,review
BML,help me request some bills,INVOICES,get_invoice
BIMSLC,"I can't find my bill, how can I see it?",INVOICES,check_invoices
BIL,can I contact Client Service?,CONTACT,contact_customer_service
BIPLZ,"ciuld you tell me if i can create two online accounts with the same email, please?",ACCOUNT,create_account
BLD,ask an agent where to remove my account,ACCOUNT,delete_account
BIQC,"I want to subscribe to the newsletter, can you tell me how to do it?",NEWSLETTER,newsletter_subscription
BIC,"I want to file a complaint, what should I do?",FEEDBACK,complaint
BIMLQ,can I register more than one user account with the same email address?,ACCOUNT,create_account
BLQC,"i got an error message when i tried to make a payment, but my card was charged anyway, i need help informing of it",PAYMENT,payment_issue
BILZ,can Isee your moey back policy?,REFUNDS,check_refund_policy
BMLZ,how to noitfy payment issues,PAYMENT,payment_issue
BLC,"I have a problem paying with card, help me report it",PAYMENT,payment_issue
BLQCZ,I purchased something and I wantto modify my purchase,ORDER,change_order
BMLC,"I want to track my deliveries, tell me how to do it",ORDER,track_order
BILC,"i want a user account, how can i create one?",ACCOUNT,create_account
BLQC,ive got no user account and i want to open one,ACCOUNT,create_account
BILC,"I have an issue paying for my online order, can you notify it?",PAYMENT,payment_issue
BIPLQDZ,cn u ask an agentif i could see my invoices?,INVOICES,check_invoices
BIQ,can u check the options for delivery?,DELIVERY,delivery_options
BPLECZ,"I am not happy with the service, help mefile a consumer complaint, please",FEEDBACK,complaint
BILC,"you aren't helping, can I contact a human?",CONTACT,contact_human_agent
BPLEQW,"i would like to download a fucking bill, can you give me some information?",INVOICES,get_invoice
BIML,can you send me some bills?,INVOICES,get_invoice
BIL,can you give me information about the status of my refund?,REFUNDS,track_refund
BIPLQ,"could you tell me the email address of Client Service, please?",CONTACT,contact_customer_service
BL,information about my bills,INVOICES,check_invoices
BL,tell me what the mail address of Customer Service is,CONTACT,contact_customer_service
BILC,"I'm not happy with the service, what should I do to make a complaint?",FEEDBACK,complaint
