flags,utterance,category,intent
BSLQ,I need help receiving a reimbursement,REFUNDS,get_refund
BQZ,i wanna change to another cacount,ACCOUNT,switch_account
BSLC,"I can't remember my account password, I need help resetting it",ACCOUNT,recover_password
BLQC,"I ordered a product, help me change my order",ORDER,change_order
BILC,"I got an error when I attempted to make a payment, but my card was charged anyway, what should I do to inform of it?",PAYMENT,payment_issue
BLQCZ,"I have an problem paying with card, inform of it",PAYMENT,payment_issue
BIL,can you tell me the free phone number to contact Customer Support?,CONTACT,contact_customer_service
BML,tell me how to track my shipments,ORDER,track_order
BILC,"I got an error message when I attempted to make a payment, but my card was charged anyway, can I report it?",PAYMENT,payment_issue
BILQC,"I got an error when I attempted to pay, but my card was charged anyway, can I report it?",PAYMENT,payment_issue
BLQC,i dont have a shipping address and i want to set one up,SHIPPING,set_up_shipping_address
BPMLQD,"ask an agent if i could inform of payment problems, please",PAYMENT,payment_issue
BLQ,i wanna change to another online account,ACCOUNT,switch_account
BL,I want to update my profile,ACCOUNT,edit_account
BMSLQ,i need help seeing some invoices,INVOICES,get_invoice
BL,I have issues opening an account,ACCOUNT,registration_problems
BLQC,"I purchased something, help me change my order",ORDER,change_order
BILC,"I don't understand you, how do I contact someone?",CONTACT,contact_human_agent
BIPLD,"can you ask an agent if I can write an opinion for a service, please?",FEEDBACK,review
BILZ,can you show me the number to contact Customr Service?,CONTACT,contact_customer_service
BIPMLDW,"can you ask an agent how I can inform of fucking problems with my payment, please?",PAYMENT,payment_issue
BIL,can you give me information about the status of my purchase?,ORDER,track_order
BISLC,"i didn't receive my bills, can i see them?",INVOICES,check_invoices
BIPMLQDW,"could you ask an agent how I could know where my fucking packages are, please?",ORDER,track_order
BIC,"I have an issue when trying to pay with card, what can I do to report it?",PAYMENT,payment_issue
BIL,where do i obtain a reimbursement?,REFUNDS,get_refund
BILQCZ,"I got an error when I tried to make a payment , but my card was charged anyway, how do I notify it?",PAYMENT,payment_issue
BILQC,"I want to submit a comment for a service, what do I have to do?",FEEDBACK,review
BLQC,I purchased something and I want to modify my order,ORDER,change_order
BIMSLCZ,"I didn't receive my bill, hwat can I do to see it?",INVOICES,check_invoices
BIQ,can I place an order?,ORDER,place_order
BPLD,"please, ask an agent about the status of my purchase",ORDER,track_order
BLQD,ask an agent to solve a problem with my payment,PAYMENT,payment_issue
B,information about the cancellation fee,CANCELLATION_FEE,check_cancellation_fee
BMSLCZ,I can't find my invoice andI want to see it,INVOICES,check_invoices
BILQCZ,"I got an error message hwen I tried to make a payment, but my card was charged anyway, can I notify it?",PAYMENT,payment_issue
BILC,"I don't have a user account, what do I have to do to open one?",ACCOUNT,create_account
BILQC,"I purchased an item, what do I have to do to modify my order?",ORDER,change_order
BILQC,"I have a problem paying for my online order, can I notify it?",PAYMENT,payment_issue
BILC,"I made a mistake, what can I do to change my purchase?",ORDER,change_order
BILQC,"the concert was cancelled, how can i request a reimbursement?",REFUNDS,get_refund
BILQD,can u ask an agent if i can lodge a complaint for a service?,FEEDBACK,complaint
BL,send an email to customer service,CONTACT,contact_customer_service
BILQC,"i got an error when i attempted to make a payment, but i was charged anyway, can u inform of it?",PAYMENT,payment_issue
BIPLQD,"could u ask an agent how to talk to client service, please?",CONTACT,contact_customer_service
BL,tell me what the email to contact Customer Support is,CONTACT,contact_customer_service
BILQC,"the show was postponed, how do i get a refund?",REFUNDS,get_refund
BIPMLDW,can you ask an agent if I could notify fucking payment issues?,PAYMENT,payment_issue
BIPLCZ,"my user acocunt's been hacked, could you recover it, please?",ACCOUNT,recover_password
BIC,"I don't like the service, what can I do to file a complaint?",FEEDBACK,complaint
BLC,"I want to track my delivery, tell me how I can do it",ORDER,track_order
BILQC,"I have a question, what can I do to call Customer Support?",CONTACT,contact_customer_service
BILQC,"the game was cancelled, what do i have to do to obtain a reimbursement?",REFUNDS,get_refund
BILC,"I want to report an issue paying, what do I have to do?",PAYMENT,payment_issue
