flags,utterance,category,intent
BLQC,"I got an error message when I attempted to pay, but I was charged anyway, help me report it",PAYMENT,payment_issue
BLC,"I got an error when I tried to make a payment, but I was charged anyway and I want to notify it",PAYMENT,payment_issue
BL,help me leave a comment,FEEDBACK,review
BI,can you contact Customer Service?,CONTACT,contact_customer_service
BLC,"i need information, help me call customer service",CONTACT,contact_customer_service
BLCZ,"I'm discontent withh the service, lodge a complaint",FEEDBACK,complaint
BILC,"I want to see the status of my order, what do I have to do?",ORDER,track_order
BILEQC,"i dont have an online account, what do i have to do?",ACCOUNT,create_account
BIPLDWZ,could you ask an agent hwere to see a fucking bill?,INVOICES,get_invoice
BILQWC,"the fucking event was cancelled, what can I do to obtain a reimbursement?",REFUNDS,get_refund
BLQ,I want to update the information on my profile,ACCOUNT,edit_account
BILQC,"I have a problem paying for my online order, what do I have to do to inform of it?",PAYMENT,payment_issue
BLQ,I want to see an invoice,INVOICES,get_invoice
BL,tell me how to modify my order,ORDER,change_order
BILC,"my account's been hacked, what can I do to get it back?",ACCOUNT,recover_password
BLEQC,"u are not helping, talk to a human agent",CONTACT,contact_human_agent
BILC,"I have an issue when trying to pay for my order, how can I inform of it?",PAYMENT,payment_issue
BIL,how do I receive a refund?,REFUNDS,get_refund
BILC,"I don't have a shipping address, how can I set one up?",SHIPPING,set_up_shipping_address
BILQC,"I have no user account, how do I open one?",ACCOUNT,create_account
BLQC,"I got an error message when I attempted to pay, but my card was charged anyway, I need help informing of it",PAYMENT,payment_issue
BIL,can i cancel my account?,ACCOUNT,delete_account
BIC,"I want to delete my account, how can I do it?",ACCOUNT,delete_account
BL,tell me what the mail address of Customer Support is,CONTACT,contact_customer_service
BL,tell me how to download an invoice,INVOICES,get_invoice
BILQC,"I got an error when I attempted to make a payment, but my card was charged anyway, how do I notify it?",PAYMENT,payment_issue
BSLC,"I made a mistake, i need help changing my purchase",ORDER,change_order
BILQC,"I get an error when I try to make a payment, what can I do?",PAYMENT,payment_issue
BIPLW,how could i lodge a fucking complaint?,FEEDBACK,complaint
BILC,"I want to track my purchase, what can I do?",ORDER,track_order
BILQCZ,"the show was postpooned, can I geta reimbursement?",REFUNDS,get_refund
BILQ,how do I reset my password?,ACCOUNT,recover_password
BLQ,i wanna see the free number of Customer Service,CONTACT,contact_customer_service
BMLZ,I want to  solve problems paying,PAYMENT,payment_issue
BILQ,how do i notify a problem paying?,PAYMENT,payment_issue
BIL,can I get the tracking number for my shipment?,ORDER,track_order
BISLWC,"I can't find my fucking bills, can you view them?",INVOICES,check_invoices
BPSQZ,"I need help solving an payment issue, please",PAYMENT,payment_issue
BSLZ,I need hepl solving a problem with my payment,PAYMENT,payment_issue
BILQ,can I make a payment with Amex?,PAYMENT,check_payment_methods
BISLC,"i lost my bills, how can i see them?",INVOICES,check_invoices
BML,help me track my deliveries,ORDER,track_order
BILQC,"I want information, how do I contact Client Service?",CONTACT,contact_customer_service
BILC,"I'm not happy with the service, can you lodge a complaint?",FEEDBACK,complaint
BPL,"help me inform of a payment issue, please",PAYMENT,payment_issue
BPLEC,the event was postponed and I would like to obtain a refund,REFUNDS,get_refund
BIMLQD,can you ask an agent if my orders are on their way?,ORDER,track_order
BIC,"I have a question, how can I contact Customer Service?",CONTACT,contact_customer_service
BILC,"I forgot my account password, what should I do to reset it?",ACCOUNT,recover_password
BILD,can you ask an agent to check my shipment?,ORDER,track_order
BLZ,I want to know where I can check my hsipment,ORDER,track_order
BILQ,where do I see your payment methods?,PAYMENT,check_payment_methods
BILC,"i want information, how can i send an email to client service?",CONTACT,contact_customer_service
BSLQC,"my user account was hacked, i need help recovering it",ACCOUNT,recover_password
BIMZ,can you tell me how fast I can expect my tickets to arrive ?,DELIVERY,delivery_period
BIPLD,"please, could you ask an agent to reset my password?",ACCOUNT,recover_password
BILC,"I got an error when I attempted to pay, but I was charged anyway, what do I have to do to report it?",PAYMENT,payment_issue
BILQC,"I want to file a consumer complaint for a service, what do I have to do?",FEEDBACK,complaint
