flags,utterance,category,intent
BLQ,I want to know how I can know where my shipment is,ORDER,track_order
BLQC,"I got an error when I tried to pay, but my card was charged anyway, help me notify it",PAYMENT,payment_issue
BILQC,"an error message pops when I try to make a payment for my online order, what can I do?",PAYMENT,payment_issue
BIL,can you find information about the options for ticket delivery?,DELIVERY,delivery_options
BPLW,"i want to know if i could register several fucking accounts with a single email, please",ACCOUNT,create_account
BILQD,can u ask an agent to switch to another user account?,ACCOUNT,switch_account
BILQC,"an error pops when I attempt to make a payment, what should I do?",PAYMENT,payment_issue
BMSLQ,I need help notifying payment problems,PAYMENT,payment_issue
BSLCZ,"you aren't helpnig , I need help talking to a human",CONTACT,contact_human_agent
BIQ,where can I check your payment methods?,PAYMENT,check_payment_methods
BIMLQZ,can I creae more than one online account with the same email?,ACCOUNT,create_account
BIML,can you tell me if I can obtain some invoices?,INVOICES,get_invoice
BSLC,"I forgot my password, I need help retrieving it",ACCOUNT,recover_password
BDZ,ask an agent to cancel a order,ORDER,cancel_order
BIL,what's the mail to contact Client Service?,CONTACT,contact_customer_service
BMSL,I need help obtaining some bills,INVOICES,get_invoice
BSLQC,"I want to use my other profile, I need help switching them",ACCOUNT,switch_account
BI,can you tell me if I can subscribe to the newsletter?,NEWSLETTER,newsletter_subscription
BILC,"I get an error when I try to make a payment for my order, what can I do?",PAYMENT,payment_issue
BLQC,i have an issue when trying to pay for my online order and i wanna inform of it,PAYMENT,payment_issue
BILD,can you ask an agent how I can update the information on my profile?,ACCOUNT,edit_account
BIPLD,can you ask an agent if I could check my delivery?,ORDER,track_order
BL,I want to know where to receive the newsletter,NEWSLETTER,newsletter_subscription
BLD,ask an agent if i can view the status of my refund,REFUNDS,track_refund
BILQC,"I have an issue when trying to make a payment with card, what can I do to notify it?",PAYMENT,payment_issue
BMLQZ,I want to notigy problems paying,PAYMENT,payment_issue
BLQC,"I got an error when I tried to make a payment, but my card was charged anyway, help me inform of it",PAYMENT,payment_issue
